url_length,hostname_length,path_length,query_length,num_dots,num_hyphens,tld_length,count_digits,count_special,ratio_digits,ratio_special,has_at,has_ip,has_https,has_port,double_slash_in_path,num_query_params,is_shortened,has_sensitive_words,shannon_entropy_url,shannon_entropy_domain,nan_entropy,relative_entropy_kl,y
25,13,4,0,1,0,4,0,5,0.0,0.2,0,0,1,0,0,0,0,0,3.5092750707107125,2.931208948910323,1.3709505944546687,0.825798972957053,0
110,34,68,0,3,0,3,6,17,0.05454545454545454,0.15454545454545454,0,0,1,0,0,0,0,0,4.3354173537269745,3.7118481373336634,1.7779849042597489,0.37563786122217185,0
53,17,29,0,2,0,2,0,11,0.0,0.20754716981132076,0,0,0,0,0,0,0,0,4.101867445744632,3.1751231351134614,1.4911148500551858,0.37537277802734076,1
23,15,1,0,2,0,3,0,6,0.0,0.2608695652173913,0,0,0,0,0,0,0,0,3.414441303694973,3.0565647621309537,1.4591479170272446,0.842707634688578,0
126,50,20,47,4,1,3,14,19,0.1111111111111111,0.15079365079365079,0,0,1,0,0,3,0,1,4.720080896957906,3.9990795706241737,2.7550576199383077,0.7488149270353808,1
142,16,119,0,2,0,3,8,27,0.056338028169014086,0.19014084507042253,0,0,0,0,0,0,0,0,4.507854780193615,3.327819531114783,1.4805774296980352,0.625354582743636,0
43,34,1,0,2,0,3,0,6,0.0,0.13953488372093023,0,0,1,0,0,0,0,0,4.196175150293235,3.892486650571202,1.4591479170272446,0.5476303989271524,0
47,39,1,0,2,0,3,0,6,0.0,0.1276595744680851,0,0,0,0,0,0,0,0,4.175993372539952,3.938496449298638,1.4591479170272446,0.3877570681772972,0
101,24,47,21,1,1,3,20,13,0.19801980198019803,0.12871287128712872,0,0,1,0,0,1,0,1,4.486071258075174,3.319773835029478,2.353533948577482,0.845306365020432,1
56,22,26,0,1,0,3,0,9,0.0,0.16071428571428573,0,0,1,0,0,0,0,0,4.1637995646056805,3.6069367321753205,1.4466166676282082,0.41105745345635897,1
47,19,21,0,2,0,3,4,8,0.0851063829787234,0.1702127659574468,0,0,0,0,0,0,0,0,4.2723619898374166,3.6818808028034042,1.4056390622295662,0.47527544713389364,1
27,14,5,0,2,0,3,0,6,0.0,0.2222222222222222,0,0,1,0,0,0,0,0,3.606015279620733,3.182005814760214,1.4591479170272446,0.7062344527866219,0
21,12,1,0,1,1,2,0,6,0.0,0.2857142857142857,0,0,1,0,0,0,0,0,3.6178096843744547,3.2516291673878226,1.7924812503605778,0.9571586784691031,0
63,31,25,0,2,0,3,0,8,0.0,0.12698412698412698,0,0,0,0,0,0,0,0,4.130633948458052,3.744203568311812,1.75,0.3694966171836784,0
25,17,0,0,2,0,3,0,5,0.0,0.2,0,0,1,0,0,0,0,0,3.8136606896881853,3.3371753411230776,1.5219280948873621,0.628029690454161,0
41,32,1,0,2,0,3,3,6,0.07317073170731707,0.14634146341463414,0,0,1,0,0,0,0,0,4.320251394545381,4.202819531114783,1.4591479170272446,0.5552541287360374,1
23,15,1,0,2,0,2,0,6,0.0,0.2608695652173913,0,0,0,0,0,0,0,0,3.849223912390625,3.32323142879762,1.4591479170272446,0.9010252988075232,0
27,19,1,0,2,1,2,0,7,0.0,0.25925925925925924,0,0,0,0,0,0,0,0,4.078418520441604,3.7871439606981414,1.8423709931771088,0.5815938606465553,0
56,16,32,0,2,0,3,0,11,0.0,0.19642857142857142,0,0,1,0,0,0,0,0,4.3336169753972325,3.452819531114783,1.8676338909712122,0.4672795146655335,0
37,28,1,0,3,0,2,0,7,0.0,0.1891891891891892,0,0,1,0,0,0,0,0,3.9519040409537936,3.502736171594004,1.4488156357251847,0.5340695599472055,0
62,12,43,0,1,0,2,1,11,0.016129032258064516,0.1774193548387097,0,0,0,0,0,0,0,0,4.27199167541111,3.0220552088742,1.4911148500551858,0.3092859211324729,1
40,14,19,0,3,0,2,14,7,0.35,0.175,0,1,0,0,0,0,0,0,3.9873261452560076,2.556656707462823,1.4488156357251847,2.1642694532335582,1
45,25,13,0,2,0,2,0,9,0.0,0.2,0,0,0,0,0,0,0,0,4.05844213046261,3.5434651896016467,1.8910611120726528,0.8010291164100234,1
20,11,1,0,2,1,2,1,7,0.05,0.35,0,0,1,0,0,0,0,0,3.646439344671015,2.845350936622437,1.8423709931771088,1.2169193167821128,0
34,27,0,0,2,0,3,0,5,0.0,0.14705882352941177,0,0,0,0,0,0,0,0,4.113362385992582,3.930270372293455,1.5219280948873621,0.5683066795399572,1
49,17,25,0,2,0,3,0,9,0.0,0.1836734693877551,0,0,0,0,0,0,0,0,4.311152640422817,3.2639334294856344,1.7527152789797045,0.38806938631624494,0
34,27,0,0,2,0,3,0,5,0.0,0.14705882352941177,0,0,0,0,0,0,0,0,3.8414473125268023,3.4821272067338294,1.5219280948873621,0.716147813855751,1
22,14,1,0,2,0,3,0,6,0.0,0.2727272727272727,0,0,0,0,0,0,0,0,3.538310595615006,3.039148671903072,1.4591479170272446,0.7759572332070874,0
127,50,19,49,4,1,3,19,18,0.14960629921259844,0.14173228346456693,0,0,1,0,0,3,0,1,4.719461584622008,3.9990795706241737,2.794653473544342,0.8230197018350383,1
45,36,1,0,2,0,3,0,6,0.0,0.13333333333333333,0,0,1,0,0,0,0,0,3.9468355977667766,3.649673447186741,1.4591479170272446,0.6709645336730525,1
42,15,19,0,2,0,3,8,8,0.19047619047619047,0.19047619047619047,0,0,1,0,0,0,0,0,4.279720852464462,3.5068905956085183,1.2987949406953985,0.8824319434333346,0
63,19,36,0,2,0,3,0,10,0.0,0.15873015873015872,0,0,1,0,0,0,0,0,4.068472885586725,3.6818808028034042,1.8464393446710154,0.43864510967072584,0
42,13,22,0,1,0,3,0,8,0.0,0.19047619047619047,0,0,0,0,0,0,0,1,4.111973672521205,3.238901256602631,1.75,0.3449151722534035,1
58,14,37,0,3,0,2,0,13,0.0,0.22413793103448276,0,0,0,0,0,0,0,0,4.217316934850477,2.9852281360342525,1.7758589482446405,0.4433206533704544,1
69,42,19,0,4,0,3,6,9,0.08695652173913043,0.13043478260869565,0,0,1,0,0,0,0,1,4.357654892278535,3.9244902682134137,1.3921472236645345,0.653506362477056,1
93,34,52,0,2,1,3,3,15,0.03225806451612903,0.16129032258064516,0,0,0,0,0,0,0,1,4.558405151250695,4.175123135113461,1.6879430945989,0.40643677205213535,1
33,22,4,0,1,0,2,0,6,0.0,0.18181818181818182,0,0,0,0,0,0,0,0,3.9912157102019847,3.5503407095463877,1.2516291673878228,0.5487948030673825,1
44,36,1,0,2,0,3,0,6,0.0,0.13636363636363635,0,0,0,0,0,0,0,0,3.924754631470696,3.748778905366474,1.4591479170272446,0.5917956764745688,0
45,15,22,0,2,0,3,0,8,0.0,0.17777777777777778,0,0,1,0,0,0,0,0,4.019879075051286,3.006238928653389,1.9056390622295662,0.4265961808861388,0
43,13,23,0,2,0,2,0,9,0.0,0.20930232558139536,0,0,0,0,0,0,0,0,4.248841720211616,3.238901256602631,1.3516441151533924,0.691252950759942,1
132,26,88,9,2,1,3,8,21,0.06060606060606061,0.1590909090909091,0,0,1,0,0,1,0,0,4.74431574161479,3.8441065448145375,2.4516084941043093,0.42463148831791,1
55,16,32,0,1,0,3,19,8,0.34545454545454546,0.14545454545454545,0,0,0,0,0,0,0,0,4.447103750156401,3.202819531114783,1.061278124459133,1.3928898161944063,0
64,17,40,0,2,0,3,22,7,0.34375,0.109375,0,0,0,0,0,0,0,0,4.540873781480403,2.984234164652489,1.3787834934861758,1.4066780300773085,1
67,10,50,0,1,0,2,3,12,0.04477611940298507,0.1791044776119403,0,0,0,0,0,0,0,1,4.253761996947018,2.6464393446710153,1.4182958340544896,0.49661057700772904,1
23,10,6,0,1,0,3,2,5,0.08695652173913043,0.21739130434782608,0,0,0,0,0,0,0,0,3.555533151426996,2.6464393446710153,1.3709505944546687,1.139198137145889,1
22,15,0,0,1,0,2,0,4,0.0,0.18181818181818182,0,0,0,0,0,0,0,0,3.754441845713344,3.4565647621309536,1.5,1.0454191718086798,0
26,18,1,0,2,0,3,0,6,0.0,0.23076923076923078,0,0,0,0,0,0,0,0,3.6612262562697886,3.155221528859512,1.4591479170272446,0.9909618077835979,0
57,21,29,0,2,0,2,0,10,0.0,0.17543859649122806,0,0,0,0,0,0,0,1,4.25761896255385,3.558518613048906,1.1567796494470395,0.4193647254968258,1
74,23,44,0,2,0,3,6,11,0.08108108108108109,0.14864864864864866,0,0,0,0,0,0,0,0,4.6917119483495675,3.7622673906514947,1.8676338909712122,0.3572940976685518,0
23,15,0,0,3,0,2,0,6,0.0,0.2608695652173913,0,0,1,0,0,0,0,0,3.729446194905257,3.1395722619867223,1.4591479170272448,1.108542551329604,0
42,18,17,0,2,0,3,0,7,0.0,0.16666666666666666,0,0,0,0,0,0,0,0,4.079950387570099,3.4613201402110083,1.3787834934861758,0.39781496727889026,0
69,16,46,0,2,0,3,2,14,0.028985507246376812,0.2028985507246377,0,0,0,0,0,0,0,0,4.421849958117244,3.452819531114783,1.689391746743088,0.36061707878263843,0
22,14,1,0,2,0,3,0,6,0.0,0.2727272727272727,0,0,0,0,0,0,0,0,3.7544418457133446,3.182005814760214,1.4591479170272446,0.6607647890314268,0
36,27,1,0,2,0,3,0,6,0.0,0.16666666666666666,0,0,1,0,0,0,0,0,3.8638263900908156,3.43971065015136,1.4591479170272446,0.5197799227586274,0
27,10,10,0,1,0,3,0,5,0.0,0.18518518518518517,0,0,0,0,0,0,0,0,4.032303242743954,2.8464393446710154,1.3709505944546687,0.5357470199535512,1
19,10,1,0,1,0,2,0,5,0.0,0.2631578947368421,0,0,1,0,0,0,0,0,3.6421498816369064,3.121928094887362,1.3709505944546687,0.9735143318739151,0
35,26,1,0,2,1,3,0,7,0.0,0.2,0,0,1,0,0,0,0,0,4.028445159431229,3.6902603909683838,1.8423709931771088,0.46486329791184333,1
76,22,47,0,2,0,3,3,14,0.039473684210526314,0.18421052631578946,0,0,0,0,0,0,0,0,4.477934014824884,3.550340709546389,1.689391746743088,0.5121606663162747,0
39,22,10,0,2,1,3,1,9,0.02564102564102564,0.23076923076923078,0,0,0,0,0,0,0,0,3.970422410781626,3.538310595615005,1.8910611120726526,0.5976152818077816,0
29,20,1,0,2,0,3,0,6,0.0,0.20689655172413793,0,0,1,0,0,0,0,0,3.926272374139508,3.546439344671015,1.4591479170272446,0.474788701758046,0
50,27,16,0,2,0,3,0,7,0.0,0.14,0,0,0,0,0,0,0,0,4.20637013015618,3.8100810205217313,1.3787834934861758,0.3758241416209234,1
91,25,59,0,2,0,3,2,15,0.02197802197802198,0.16483516483516483,0,0,0,0,0,0,0,0,4.327720643268498,3.7532696895151076,1.6894822670191822,0.3774923123830007,0
42,17,18,0,2,0,2,1,9,0.023809523809523808,0.21428571428571427,0,0,0,0,0,0,0,0,4.282098601752791,3.6168746059562227,1.6577427265048887,0.5532570123404265,1
46,18,20,0,1,1,3,0,10,0.0,0.21739130434782608,0,0,1,0,0,0,0,0,4.237447619997661,3.725480556997868,1.3567796494470397,0.3608933111854764,1
74,18,49,0,2,0,2,0,11,0.0,0.14864864864864866,0,0,0,0,0,0,0,0,4.14279183850883,3.5724312513221195,1.0957952550009338,0.6305245170516403,1
65,16,41,0,2,0,3,0,13,0.0,0.2,0,0,1,0,0,0,0,0,4.372840413815013,3.452819531114783,2.3158243335257076,0.6920568880855695,0
63,10,17,27,1,0,3,3,13,0.047619047619047616,0.20634920634920634,1,0,1,0,0,1,0,0,4.705232852271065,3.321928094887362,2.5654483718208256,1.1015687233650655,1
21,12,1,0,1,0,2,0,5,0.0,0.23809523809523808,0,0,1,0,0,0,0,0,3.7489948035250964,3.2516291673878226,1.3709505944546687,0.7262818194698034,0
32,10,15,0,2,1,2,0,9,0.0,0.28125,0,0,0,0,0,0,0,0,3.3255059710789405,2.4464393446710155,1.6577427265048887,1.157469163102472,1
86,21,15,42,2,0,2,36,11,0.4186046511627907,0.12790697674418605,0,0,0,0,0,1,0,0,4.385986117816918,3.3320953986601696,1.8676338909712125,2.067004341616506,1
29,22,0,0,2,0,2,0,5,0.0,0.1724137931034483,0,0,0,0,0,0,0,0,4.03039478823102,3.7321588913645702,1.5219280948873621,0.746835518388881,1
32,18,7,0,1,1,2,0,7,0.0,0.21875,0,0,0,0,0,0,0,0,3.902518266288633,3.4193819456463714,1.6644977792004616,0.5232808882280764,1
29,13,1,0,3,0,3,10,10,0.3448275862068966,0.3448275862068966,0,1,0,0,0,0,0,1,4.21126073643228,3.0269868333592873,2.0464393446710156,2.2718831937310955,1
61,16,37,0,2,0,3,6,10,0.09836065573770492,0.16393442622950818,0,0,1,0,0,0,0,0,4.477799788659759,3.125,1.8464393446710154,0.43987578956988843,0
81,27,47,0,2,0,3,18,8,0.2222222222222222,0.09876543209876543,0,0,0,0,0,0,0,0,4.721213010775927,3.8100810205217313,1.2987949406953985,0.8984408067680559,1
35,26,1,0,2,0,3,0,6,0.0,0.17142857142857143,0,0,1,0,0,0,0,0,4.057575159678482,3.8731406795131327,1.4591479170272446,0.5679287358902472,1
29,21,1,0,2,0,3,0,6,0.0,0.20689655172413793,0,0,0,0,0,0,0,0,3.9952378913808873,3.653756708287001,1.4591479170272446,0.6648314891241064,0
49,31,11,0,2,1,3,7,9,0.14285714285714285,0.1836734693877551,0,0,0,0,0,0,0,0,4.319119161352678,3.80871969734407,1.6577427265048887,1.042958036178029,1
30,21,1,0,2,0,3,1,6,0.03333333333333333,0.2,0,0,1,0,0,0,0,0,3.856564762130954,3.653756708287001,1.4591479170272446,0.7994951592198223,1
51,14,30,0,2,0,2,0,10,0.0,0.19607843137254902,0,0,0,0,0,0,0,0,4.155090479515533,3.2359263506290334,1.295461844238322,0.6230793166070964,1
79,22,33,16,2,0,3,25,9,0.31645569620253167,0.11392405063291139,0,0,0,0,0,1,0,0,4.782097211359831,3.9705730958116847,2.4193819456463714,1.296016771289932,1
21,10,1,0,2,0,2,5,7,0.23809523809523808,0.3333333333333333,0,0,0,1,0,0,0,0,3.5585186130489057,2.6464393446710153,1.5566567074628228,1.7351577055806748,0
21,13,1,0,2,0,3,4,6,0.19047619047619047,0.2857142857142857,0,0,0,0,0,0,0,0,3.6537567082870006,3.0269868333592873,1.4591479170272446,1.628676617972239,1
34,25,1,0,2,1,3,0,7,0.0,0.20588235294117646,0,0,1,0,0,0,0,0,4.035273502696889,3.703465189601647,1.8423709931771088,0.5301158536860235,1
26,17,1,0,2,0,2,0,6,0.0,0.23076923076923078,0,0,1,0,0,0,0,0,3.6133373140453067,3.219528282299548,1.4591479170272446,0.6412949293801937,0
38,30,1,0,4,1,3,0,9,0.0,0.23684210526315788,0,0,0,0,0,0,0,0,3.83281073684313,3.6729055953200556,1.7527152789797047,0.66343400459141,1
45,24,14,0,2,0,2,6,7,0.13333333333333333,0.15555555555555556,0,0,0,0,0,0,0,0,4.363966707392708,3.5739348962840563,1.3787834934861758,0.7803305093874807,0
58,22,15,13,1,0,3,0,9,0.0,0.15517241379310345,0,0,0,0,0,1,0,0,4.405587357928821,3.5726236638951634,2.058813890331201,0.5365056701627372,1
48,22,19,0,2,0,3,3,8,0.0625,0.16666666666666666,0,0,0,0,0,0,0,0,4.204986855772667,3.7887549139935026,1.2987949406953985,0.41796145928014394,0
56,22,27,0,2,0,2,0,11,0.0,0.19642857142857142,0,0,0,0,0,0,0,1,4.079352136869956,3.2610439833372844,1.676737030052133,0.6682052097735355,1
30,23,0,0,2,0,3,2,5,0.06666666666666667,0.16666666666666666,0,0,0,0,0,0,0,0,3.9614063297218425,3.7622673906514947,1.5219280948873621,0.8456089020224673,1
54,23,24,0,1,1,3,1,9,0.018518518518518517,0.16666666666666666,0,0,0,0,0,0,0,0,4.1900079935705445,3.534219021180341,1.6577427265048887,0.44410456959154576,1
17,10,0,0,2,0,2,0,5,0.0,0.29411764705882354,0,0,0,0,0,0,0,0,3.1751231351134614,2.4464393446710155,1.5219280948873621,1.2891330995860972,0
28,21,0,0,2,0,3,1,5,0.03571428571428571,0.17857142857142858,0,0,0,0,0,0,0,0,3.8962915290459277,3.653756708287001,1.5219280948873621,0.8241272542972563,1
24,15,1,0,2,0,3,0,6,0.0,0.25,0,0,1,0,0,0,0,0,3.740601562950723,3.323231428797621,1.4591479170272446,0.504547121193147,0
44,13,24,0,2,0,3,7,8,0.1590909090909091,0.18181818181818182,0,0,0,0,0,0,0,0,4.191830766118722,3.0269868333592873,1.4056390622295662,1.0318466554262928,0
22,13,1,0,2,0,3,0,6,0.0,0.2727272727272727,0,0,1,0,0,0,0,0,3.7544418457133446,3.180832987205441,1.4591479170272446,0.7511914528391488,0
19,11,1,0,2,0,3,3,6,0.15789473684210525,0.3157894736842105,0,0,0,0,0,0,0,0,3.4713544870139303,2.9139770731827523,1.4591479170272446,1.5690205594221367,1
48,19,21,0,2,0,3,0,9,0.0,0.1875,0,0,1,0,0,0,0,0,4.097794209361695,3.5766176449086675,1.224394445405986,0.44365839234791393,1
64,19,38,0,2,0,2,11,13,0.171875,0.203125,0,0,0,0,0,0,0,0,4.5004036179525455,3.4713544870139303,1.7004397181410922,0.9643641673975505,1
62,22,33,0,2,0,3,3,9,0.04838709677419355,0.14516129032258066,0,0,0,0,0,0,0,0,4.242019247186534,3.7887549139935026,1.6577427265048887,0.4244822213430055,0
59,8,44,0,1,0,3,0,7,0.0,0.11864406779661017,0,0,0,0,0,0,0,0,4.237972499537139,3.0,1.3787834934861758,0.3732858180065357,0
76,50,19,0,4,1,3,10,10,0.13157894736842105,0.13157894736842105,0,0,0,0,0,0,0,1,4.541472454605284,3.9990795706241737,1.721928094887362,0.6354533575064709,1
31,8,6,9,1,0,2,4,8,0.12903225806451613,0.25806451612903225,0,0,0,0,0,1,0,0,3.8858280691364313,2.5,2.0,1.2979824270337756,1
25,16,1,0,2,0,3,0,6,0.0,0.24,0,0,1,0,0,0,0,0,3.723074189428569,3.2806390622295662,1.4591479170272446,0.6111166369078764,0
28,19,1,0,2,0,3,0,6,0.0,0.21428571428571427,0,0,1,0,0,0,0,0,3.869331261111518,3.4713544870139303,1.4591479170272446,0.5746235563089845,0
140,13,120,0,1,0,3,1,20,0.007142857142857143,0.14285714285714285,0,0,0,0,0,0,0,1,4.258537875886978,3.180832987205441,1.6437519544205021,0.355773732314132,1
24,15,1,0,2,0,2,0,6,0.0,0.25,0,0,1,0,0,0,0,0,3.8553885422075345,3.189898095464287,1.4591479170272446,0.6354757013739352,0
36,29,0,0,2,0,3,0,5,0.0,0.1388888888888889,0,0,0,0,0,0,0,0,4.0724312513221195,3.866433150225384,1.5219280948873621,0.637681560303436,1
29,21,1,0,2,0,3,0,6,0.0,0.20689655172413793,0,0,0,0,0,0,0,1,3.9952378913808873,3.52257158913636,1.4591479170272446,0.4807586866904627,1
128,50,20,49,4,1,3,19,19,0.1484375,0.1484375,0,0,1,0,0,3,0,1,4.680511262677283,3.9990795706241737,2.7550576199383077,0.8703884540506819,1
177,11,73,85,1,0,3,33,20,0.1864406779661017,0.11299435028248588,0,0,0,0,0,3,0,1,5.021029855352519,3.277613436819116,2.4659573209491747,0.9306961689138957,1
77,15,55,0,2,0,3,0,12,0.0,0.15584415584415584,0,0,0,0,0,0,0,0,4.222211471117783,3.106890595608518,1.7841591278514217,0.6217287270111532,0
77,13,57,0,1,0,2,0,12,0.0,0.15584415584415584,0,0,0,0,0,0,0,0,4.140518887010252,3.3927474104487847,1.6140054628542202,0.5693719230204933,1
58,25,26,0,2,0,3,0,9,0.0,0.15517241379310345,0,0,0,0,0,0,0,0,4.143185962258587,3.653660689688185,1.836591668108979,0.36921557556668816,0
29,20,1,0,2,0,3,0,6,0.0,0.20689655172413793,0,0,1,0,0,0,0,0,3.952302977662386,3.484183719779189,1.4591479170272446,0.5333274284803884,0
35,14,14,0,2,0,3,0,8,0.0,0.22857142857142856,0,0,0,0,0,0,0,0,4.085588016574085,2.8423709931771093,1.9056390622295662,0.5523462498907404,0
39,22,10,0,2,0,3,1,8,0.02564102564102564,0.20512820512820512,0,0,0,0,0,0,0,0,4.028490680178816,3.6069367321753214,1.4056390622295662,0.4608775408911957,1
31,23,1,0,2,0,3,0,6,0.0,0.1935483870967742,0,0,0,0,0,0,0,0,3.92599298842148,3.8492239123906256,1.4591479170272446,0.6048074501822055,1
21,13,1,0,2,0,2,0,6,0.0,0.2857142857142857,0,0,0,0,0,0,0,0,3.4273334938982645,2.8150724101159437,1.4591479170272446,1.2499911670593162,0
80,16,56,0,2,0,3,1,15,0.0125,0.1875,0,0,1,0,0,0,0,0,4.131521227172131,2.9056390622295662,1.672905595320056,0.4824380660129526,0
46,14,25,0,1,0,3,0,7,0.0,0.15217391304347827,0,0,0,0,0,0,0,0,3.953152587415111,3.521640636343319,1.1488348542809168,0.6077774056645632,0
20,7,6,0,1,0,2,0,5,0.0,0.25,0,0,0,0,0,0,0,0,3.5841837197791886,2.5216406363433186,1.3709505944546687,0.9214201226986977,1
124,24,83,8,2,1,3,6,20,0.04838709677419355,0.16129032258064516,0,0,1,0,0,1,0,0,4.771349906427452,3.8553885422075345,2.5016094970590275,0.48115844532023,1
22,13,1,0,2,0,2,0,6,0.0,0.2727272727272727,0,0,1,0,0,0,0,0,3.538310595615006,2.8150724101159437,1.4591479170272446,1.0402326276671325,0
40,13,20,0,2,0,3,0,8,0.0,0.2,0,0,0,0,0,0,0,0,4.106198332810095,3.0269868333592873,1.8112781244591327,0.4855208010466321,0
59,42,10,0,4,2,3,1,11,0.01694915254237288,0.1864406779661017,0,0,0,0,0,0,0,0,4.185810270743963,3.966738780375732,1.789929075309999,0.42631612529072205,1
79,34,38,0,1,1,2,0,11,0.0,0.13924050632911392,0,0,0,0,0,0,0,0,4.076383921176118,3.6745481348589353,1.2776134368191157,0.4239908696957665,1
32,24,1,0,2,0,2,0,6,0.0,0.1875,0,0,0,0,0,0,0,0,3.9917292966721747,3.6887218755408675,1.4591479170272446,0.48687843415046805,1
228,12,43,165,1,0,2,88,20,0.38596491228070173,0.08771929824561403,0,0,0,0,0,3,0,1,4.784319933129909,3.0220552088742,2.639353872167201,1.7916798503642763,1
42,21,14,0,1,0,3,0,7,0.0,0.16666666666666666,0,0,0,0,0,0,0,0,3.841855149474861,3.1416192081839784,1.1488348542809168,0.6131419937145753,1
52,17,28,0,2,0,2,0,9,0.0,0.17307692307692307,0,0,0,0,0,0,0,0,4.065140440455372,3.5724694587701364,1.224394445405986,0.33125137012863304,0
29,16,6,0,3,0,2,0,8,0.0,0.27586206896551724,0,0,0,0,0,0,0,0,3.840402546702506,3.2806390622295662,1.4056390622295662,0.5855729007485593,0
19,10,1,0,1,0,2,0,5,0.0,0.2631578947368421,0,0,1,0,0,0,0,0,3.642149881636906,3.121928094887362,1.3709505944546687,0.6788124714219045,0
31,22,1,0,3,1,2,0,8,0.0,0.25806451612903225,0,0,1,0,0,0,0,0,3.9292144551992183,3.6635327548042538,1.8112781244591327,0.6470928872959489,0
97,17,61,11,1,0,2,0,15,0.0,0.15463917525773196,0,0,0,0,0,1,0,0,4.390574210940917,3.5724694587701364,1.871602261409798,0.3259196629841445,1
32,24,1,0,3,1,2,0,8,0.0,0.25,0,0,0,0,0,0,0,0,3.6665301730294657,3.2610276044371007,1.8112781244591327,0.7948539731245097,1
45,21,17,0,2,0,3,0,9,0.0,0.2,0,0,0,0,0,0,0,0,4.303321019543806,3.7849418274376423,1.6577427265048887,0.2763064744694641,0
92,27,58,0,2,0,3,4,11,0.043478260869565216,0.11956521739130435,0,0,0,0,0,0,0,0,4.309610767835164,3.763965742824081,1.2406705316766886,0.4760336364872142,0
56,39,10,0,4,2,3,6,11,0.10714285714285714,0.19642857142857142,0,0,0,0,0,0,0,0,4.338804369244614,4.099128821259931,1.789929075309999,0.661854387686827,1
27,20,0,0,2,1,2,0,6,0.0,0.2222222222222222,0,0,0,0,0,0,0,0,3.9400726873486547,3.621928094887362,1.9182958340544896,0.7150803006151741,0
27,18,1,0,2,0,3,0,6,0.0,0.2222222222222222,0,0,1,0,0,0,0,0,3.8841550945958057,3.5724312513221195,1.4591479170272446,0.42057768285889424,0
253,12,18,215,1,0,4,61,48,0.24110671936758893,0.18972332015810275,0,0,0,0,0,11,0,1,4.886449739381112,3.2516291673878226,2.4836927864437097,1.7357268341669925,1
45,25,13,0,2,0,3,0,7,0.0,0.15555555555555556,0,0,0,0,0,0,0,0,4.157650873722836,3.7834651896016465,1.8423709931771088,0.45782982509907866,0
64,35,21,0,4,0,3,14,11,0.21875,0.171875,0,0,1,0,0,0,0,0,4.546973149067329,4.150292659616669,1.3485878960124222,0.893591475217919,1
22,14,1,0,2,0,3,0,6,0.0,0.2727272727272727,0,0,0,0,0,0,0,0,3.663532754804254,3.039148671903072,1.4591479170272446,0.9909378093816356,0
35,27,1,0,3,0,2,0,7,0.0,0.2,0,0,0,0,0,0,0,0,3.992870516635899,3.6060152796207334,1.4488156357251847,0.6158502721892368,0
